,ID_TURMA,TX_HR_INICIAL,NU_DURACAO_TURMA,QT_MATRICULAS,TP_ETAPA_ENSINO,NU_DIAS_ATIVIDADE,CO_ENTIDADE,CD_GEOCODI,AGE_AVG_STUDENTS,AGE_STD_STUDENTS,NUM_TEACHERS_x,AGE_AVG_TEACHERS_x,AGE_STD_TEACHERS_x,NUM_TEACHERS_y,AGE_AVG_TEACHERS_y,AGE_STD_TEACHERS_y
0,12222238,13.0,240.0,25,39.0,5.0,31364355,313820000000000.0,25.2,8.958236433584458,1,40.0,0.0,1,40.0,0.0
1,12223016,13.0,240.0,22,68.0,5.0,31364355,313820000000000.0,16.772727272727273,0.812510406193767,1,38.0,0.0,1,38.0,0.0
2,12223051,13.0,240.0,19,68.0,5.0,31364355,313820000000000.0,17.0,0.8164965809277261,1,38.0,0.0,1,38.0,0.0
3,12223078,13.0,240.0,24,39.0,5.0,31364355,313820000000000.0,25.458333333333332,8.592105409171774,1,36.0,0.0,1,36.0,0.0
4,12223120,8.0,240.0,36,39.0,5.0,31364355,313820000000000.0,29.47222222222222,9.391443251662993,1,57.0,0.0,1,57.0,0.0
5,12403893,13.0,255.0,21,2.0,5.0,31217751,313820000000000.0,4.904761904761905,0.3007926037591192,1,35.0,0.0,1,35.0,0.0
6,12404662,13.0,255.0,21,2.0,5.0,31217751,313820000000000.0,5.0,0.0,1,33.0,0.0,1,33.0,0.0
7,12404641,13.0,255.0,20,2.0,5.0,31217751,313820000000000.0,4.85,0.36634754853252327,1,54.0,0.0,1,54.0,0.0
8,12404890,13.0,255.0,18,14.0,5.0,31217751,313820000000000.0,5.944444444444445,0.23570226039551587,2,40.5,7.7781745930520225,2,40.5,7.7781745930520225
9,12405022,13.0,255.0,23,14.0,5.0,31217751,313820000000000.0,5.956521739130435,0.20851441405707477,3,41.333333333333336,5.686240703077327,3,41.333333333333336,5.686240703077327
10,12405099,7.0,255.0,21,15.0,5.0,31217751,313820000000000.0,6.9523809523809526,0.3842122429322725,3,40.333333333333336,6.027713773341707,3,40.333333333333336,6.027713773341707
11,12405307,7.0,255.0,21,16.0,5.0,31217751,313820000000000.0,8.047619047619047,0.49761335152811925,3,39.0,8.18535277187245,3,39.0,8.18535277187245
12,12405368,7.0,255.0,22,17.0,5.0,31217751,313820000000000.0,9.136363636363637,0.6396021490668311,2,47.0,1.4142135623730951,2,47.0,1.4142135623730951
13,12405397,7.0,255.0,25,17.0,5.0,31217751,313820000000000.0,9.28,0.8426149773176359,2,42.5,4.949747468305833,2,42.5,4.949747468305833
14,12405535,7.0,255.0,24,18.0,5.0,31217751,313820000000000.0,10.333333333333334,0.816496580927726,2,34.0,16.97056274847714,2,34.0,16.97056274847714
15,12405556,7.0,255.0,27,18.0,5.0,31217751,313820000000000.0,10.592592592592593,0.6360490582953522,2,39.5,9.192388155425117,2,39.5,9.192388155425117
16,12405566,7.0,255.0,26,18.0,5.0,31217751,313820000000000.0,10.461538461538462,1.0288155998338764,3,41.666666666666664,7.505553499465134,3,41.666666666666664,7.505553499465134
17,12406060,7.0,255.0,21,15.0,5.0,31217751,313820000000000.0,6.9523809523809526,0.3842122429322725,3,43.333333333333336,7.3711147958319945,3,43.333333333333336,7.3711147958319945
18,12406230,7.0,255.0,22,15.0,5.0,31217751,313820000000000.0,6.863636363636363,0.3512500866571045,2,40.5,7.7781745930520225,2,40.5,7.7781745930520225
19,12406331,7.0,255.0,22,16.0,5.0,31217751,313820000000000.0,8.045454545454545,0.21320071635561044,2,43.0,4.242640687119285,2,43.0,4.242640687119285
20,12406398,7.0,255.0,20,16.0,5.0,31217751,313820000000000.0,8.05,0.5104177855340405,2,44.5,2.1213203435596424,2,44.5,2.1213203435596424
21,12406624,7.0,255.0,24,17.0,5.0,31217751,313820000000000.0,9.5,0.7801894976054942,3,47.0,9.539392014169456,3,47.0,9.539392014169456
22,12403775,13.0,255.0,14,1.0,5.0,31217751,313820000000000.0,2.857142857142857,0.36313651960128146,1,44.0,0.0,1,44.0,0.0
23,12404574,13.0,255.0,25,2.0,5.0,31217751,313820000000000.0,3.84,0.3741657386773941,1,40.0,0.0,1,40.0,0.0
24,12403833,13.0,255.0,22,2.0,5.0,31217751,313820000000000.0,3.8636363636363638,0.3512500866571044,1,33.0,0.0,1,33.0,0.0
25,12404542,13.0,255.0,17,2.0,5.0,31217751,313820000000000.0,3.8823529411764706,0.3321055820775359,1,31.0,0.0,1,31.0,0.0
26,12133420,13.0,255.0,18,14.0,5.0,31316245,313820000000000.0,5.888888888888889,0.3233808333817773,2,40.5,20.506096654409877,2,40.5,20.506096654409877
27,12134105,13.0,255.0,17,14.0,5.0,31316245,313820000000000.0,6.0,0.35355339059327373,2,49.5,7.7781745930520225,2,49.5,7.7781745930520225
28,12134360,13.0,255.0,20,15.0,5.0,31316245,313820000000000.0,6.9,0.4472135954999579,2,47.5,10.606601717798213,2,47.5,10.606601717798213
29,12135013,13.0,255.0,20,15.0,5.0,31316245,313820000000000.0,7.05,0.5104177855340405,2,47.5,10.606601717798213,2,47.5,10.606601717798213
30,12135140,13.0,255.0,16,15.0,5.0,31316245,313820000000000.0,6.9375,0.4425306015783918,2,54.0,1.4142135623730951,2,54.0,1.4142135623730951
31,12135175,13.0,255.0,24,16.0,5.0,31316245,313820000000000.0,8.125,0.33783196234608814,2,48.0,9.899494936611665,2,48.0,9.899494936611665
32,12135314,13.0,255.0,23,16.0,5.0,31316245,313820000000000.0,8.130434782608695,0.6944158975248031,2,51.0,5.656854249492381,2,51.0,5.656854249492381
